code,Latitude,Longitude,state,geo_state
IN,20.5937,78.9629,All-India,All-India
AN,10.0001051,93.0000194,andaman-&-nicobar-islands,Andaman & Nicobar
AD,15.9240905,80.1863809,andhra-pradesh,Andhra Pradesh
AR,28.0937702,94.5921326,arunachal-pradesh,Arunachal Pradesh
AS,26.4073841,93.2551303,assam,Assam
BR,25.6440845,85.906508,bihar,Bihar
CH,30.72984395,76.78414567,chandigarh,Chandigarh
CG,21.6637359,81.8406351,chhattisgarh,Chhattisgarh
DNHDD,20.71817495,70.93238341,dadra-&-nagar-haveli-&-daman-&-diu,Dadra and Nagar Haveli and Daman and Diu
DL,28.6517178,77.2219388,delhi,Delhi
GA,15.3004543,74.0855134,goa,Goa
GJ,22.3850051,71.745261,gujarat,Gujarat
HR,29.0588,76.0856,haryana,Haryana
HP,31.81676015,77.34932052,himachal-pradesh,Himachal Pradesh
JK,32.7185614,74.8580917,jammu-&-kashmir,Jammu & Kashmir
JH,23.4559809,85.2557301,jharkhand,Jharkhand
KA,14.5203896,75.7223521,karnataka,Karnataka
KL,10.3528744,76.5120396,kerala,Kerala
LA,33.9456407,77.6568576,ladakh,Ladakh
LD,10.8132489,73.68046209,lakshadweep,Lakshadweep
MP,23.8143419,77.5340719,madhya-pradesh,Madhya Pradesh
MH,18.9068356,75.6741579,maharashtra,Maharashtra
MN,24.7208818,93.9229386,manipur,Manipur
ML,25.5379432,91.2999102,meghalaya,Meghalaya
MZ,23.2146169,92.8687612,mizoram,Mizoram
NL,26.1630556,94.5884911,nagaland,Nagaland
OD,20.5431241,84.6897321,odisha,Odisha
PY,10.91564885,79.8069488,puducherry,Puducherry
PB,30.9293211,75.5004841,punjab,Punjab
RJ,26.8105777,73.7684549,rajasthan,Rajasthan
SK,27.601029,88.45413639,sikkim,Sikkim
TN,10.9094334,78.3665347,tamil-nadu,Tamil Nadu
TS,17.8495919,79.1151663,telangana,Telangana
TR,23.7750823,91.7025091,tripura,Tripura
UP,27.1303344,80.859666,uttar-pradesh,Uttarakhand
UK,30.0417376,79.089691,uttarakhand,Uttar Pradesh
WB,22.9964948,87.6855882,west-bengal,West Bengal
